mp_no,mp_name,mp_state,works,sanctioned,completed,recommended_total,sanctioned_total,disbursed_total,spent_total,alloc_limit,stalled,zero_disbursal,dup_leads,anomalies,avg_risk_per_work,spend_pct_alloc,cumulative_risk_points,risk_rank
844.0,Vikramjit Singh Sahney,Punjab,35,12,8,41362432.74,41102846.74,26862432.74,35254832.0,198656208.57,4,4,0,11,12.571428571428571,17.74665501459892,42,102
620.0,Pralhad Venkatesh Joshi,Karnataka,29,16,6,7820363.0,7820363.0,2783796.0,4682370.0,147000000.0,6,12,0,0,15.517241379310345,3.185285714285714,42,103
18019.0,AMARSING TISSO,Assam,49,31,29,36682540.0,35882540.0,23167877.0,8357353.0,147000000.0,4,8,0,7,8.979591836734693,5.685274149659865,42,104
188.0,Jayant Chaudhary,Uttar Pradesh,13,10,3,38091783.0,36792314.0,10219025.0,9150676.0,214074707.67,6,7,0,5,34.61538461538461,4.27452458050576,42,105
145.0,Ghanshyam Tiwari,Rajasthan,34,16,13,17952368.0,14732817.0,13626326.0,7845531.0,196063957.11,3,7,0,9,12.5,4.0015161968797415,41,106
166.0,K.R.N. Rajeshkumar,Tamil Nadu,54,33,31,68643739.0,61150840.0,51967224.0,46630225.0,238513975.53,5,5,0,8,8.055555555555555,19.55031142153551,41,107
18032.0,SUDHAKAR SINGH,Bihar,38,36,22,31040805.0,29551583.0,17168932.0,0.0,185211956.54,3,15,0,0,10.657894736842104,0.0,39,108
743.0,Ganesan Selvam,Tamil Nadu,50,41,27,28741732.0,28741732.0,11631645.0,10385808.0,186508749.11,0,14,0,5,7.6,5.568536623380927,38,109
163.0,R. Girirajan,Tamil Nadu,115,38,33,90647345.0,44942263.0,24992263.0,12326707.0,236312242.52,1,5,0,12,3.260869565217391,5.216279473526109,37,110
147.0,Pramod Tiwari,Rajasthan,66,19,33,38200328.0,19613787.0,36224616.0,21712566.0,196063957.11,4,6,0,6,5.757575757575758,11.074226145409455,36,111
204.0,Kalpana Saini,Uttarakhand,33,9,4,13871014.0,10671014.0,7110552.0,15642991.0,200830405.8,5,5,0,5,11.363636363636363,7.7891547037844,35,112
747.0,Manickam Tagore B,Tamil Nadu,29,15,3,23134619.0,19885018.0,2599395.0,15169429.0,147000000.0,2,13,0,1,12.068965517241379,10.319339455782313,34,113
719.0,Bhagirath Chaudhary,Rajasthan,34,4,6,4749005.0,1990231.0,3177074.0,9080892.0,147000000.0,2,2,0,12,10.294117647058824,6.1774775510204085,34,114
233.0,S. Phangnon Konyak,Nagaland,55,11,24,87500000.0,38500000.0,75500000.0,47214200.0,206563957.11,1,1,2,10,5.545454545454546,22.856940126712118,33,115
18043.0,MANOJ KUMAR,Bihar,26,24,12,22300943.0,22300943.0,12052478.0,5176465.0,147000000.0,3,12,0,0,13.26923076923077,3.521404761904762,33,116
18167.0,BRIJENDRA SINGH OLA,Rajasthan,49,10,18,8500928.0,4712157.0,9489542.0,9297963.0,147000000.0,0,5,0,11,6.530612244897959,6.325144897959184,32,117
740.0,Andimuthu Raja,Tamil Nadu,22,10,0,11594651.0,11594651.0,0.0,11713800.0,147000000.0,0,10,0,6,14.545454545454545,7.968571428571429,32,118
526.0,Y S Avinash Reddy,Andhra Pradesh,71,10,8,20338474.0,4761632.0,5803003.0,11995063.0,156430260.11,6,7,0,0,4.929577464788732,7.667994025941788,32,119
351.0,Shri Kumbakudi Sudhakaran,Kerala,55,10,0,13770233.0,6704098.0,0.0,4807183.0,147000000.0,0,10,0,6,5.818181818181818,3.270192517006803,32,120
541.0,Pradyut Bordoloi,Assam,20,8,4,1800000.0,1600000.0,1894720.0,778755.0,98000000.0,0,8,0,8,16.0,0.7946479591836735,32,121
18313.0,RAJ KUMAR ROAT,Rajasthan,36,8,14,24201381.0,10136887.0,11647452.0,2825231.0,147000000.0,6,6,0,0,9.166666666666666,1.9219258503401362,30,122
18162.0,DAMODAR AGARWAL,Rajasthan,55,0,4,1992229.0,0.0,1996822.0,13949780.0,147000000.0,0,0,0,15,5.454545454545454,9.4896462585034,30,123
18300.0,Bhim Singh,Bihar,93,0,58,26496589.0,0.0,17427867.0,1381297.0,186200000.0,0,0,7,1,2.096774193548387,0.7418351235230934,30,124
203.0,Darshana Singh,Uttar Pradesh,24,15,17,60996883.0,48064883.0,73249650.0,3169509.0,196994373.87,2,2,0,9,12.083333333333334,1.6089337668555013,28,125
410.0,Pradan Baruah,Assam,26,1,3,15400000.0,3600000.0,1747241.0,1784892.0,147000000.0,0,1,6,1,7.3076923076923075,1.214212244897959,28,126
422.0,Dileshwar Kamait,Bihar,37,27,23,35218384.0,32455384.0,27549355.0,2912444.0,150450930.89,0,10,0,4,7.5675675675675675,1.935809890155742,28,127
18328.0,Kangana Ranaut,Himachal Pradesh,96,11,9,12904455.0,7008155.0,2860715.0,11901757.0,147000000.0,4,6,0,2,3.125,8.096433333333334,28,128
457.0,D Ravikumar,Tamil Nadu,48,5,24,15639605.0,4175317.0,4800000.0,11289039.0,197598306.11,5,5,0,1,6.145833333333333,5.713125391730616,27,129
