"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"3511","Normal/Others","WS/MP18364/2024-2025/138186-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Formation and improvements to the road from Nagaraj’s house to Venkatesh’s house in Donekal village in Hesarghatta Panchayath limits, Yelahanka Taluk, Bangalore Urban District, Bangalore","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","18-Jan-2025","499150"
"3512","Normal/Others","WS/MP18364/2024-2025/138212-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Formation and improvements to the road from Balu’s house to Shrinivas Naik’s house in Donekal village in Hesarghatta Panchayath limits, Yelahanka Taluk, Bangalore Urban District, Bangalore","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","18-Jan-2025","499575"
"3513","Normal/Others","WS/MP18364/2024-2025/138213-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Formation and improvements to the road from Thimanna’s house to Ramesh’s house in Donekal village in Hesarghatta Panchayath limits, Yelahanka Taluk, Bangalore Urban District, Bangalore","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","18-Jan-2025","499575"
"3514","Normal/Others","WS/MP18364/2024-2025/138214-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Formation and improvements to the road from Krishnamurthy’s house to Ravikumar’s house in Donekal village in Hesarghatta Panchayath limits, Yelahanka Taluk, Bangalore Urban District, Bangalore","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","18-Jan-2025","499575"
"3515","Normal/Others","WS/MP18364/2024-2025/138215-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Formation and improvements to the road from Rajanna’s house to Ramkrishnappa’s house in Donekal village in Hesarghatta Panchayath limits, Yelahanka Taluk, Bangalore Urban District, Bangalore","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","18-Jan-2025","499575"
"3516","Normal/Others","WS/MP18364/2024-2025/138216-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Formation and improvements to the road from Nagapura main road to Hesarghatta farm main road in Hesarghatta Panchayath limits, Yelahanka Taluk, Bangalore Urban District, Bangalore","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","18-Jan-2025","499575"
"3517","Normal/Others","WS/MP18364/2024-2025/138220-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Formation and improvements to the road from Hesarghatta Sparsha Trust main road to Bhimanna’s house in Hesarghatta Panchayath limits, Yelahanka Taluk, Bangalore Urban District, Bangalore","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","18-Jan-2025","499466"
"3518","Normal/Others","WS/MP18364/2024-2025/138221-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Formation and improvements to the road from Hesarghatta Sparsha Trust main road to Chamundeshwari Temple road in Hesarghatta Panchayath limits, Yelahanka Taluk, Bangalore Urban District, Bangalore","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","18-Jan-2025","499466"
"3519","Normal/Others","WS/MP18364/2024-2025/138222-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Formation and improvements to the road from Chandrappa’s house to Rajanna’s house in Hesarghatta Panchayath limits, Yelahanka Taluk, Bangalore Urban District, Bangalore","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","18-Jan-2025","499466"
"3520","Normal/Others","WS/MP18364/2024-2025/138223-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Formation and improvements to the road from Ramesh’s house to Ramachandra’s house in Hesarghatta Panchayath limits, Yelahanka Taluk, Bangalore Urban District, Bangalore","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","18-Jan-2025","499466"
"3521","Normal/Others","WS/MP18364/2024-2025/138224-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Formation and improvements to the road from Jayaramaiah’s house to Kumar’s house in Hesarghatta Panchayath limits, Yelahanka Taluk, Bangalore Urban District, Bangalore","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","18-Jan-2025","499466"
"3522","Normal/Others","WS/MP225/2024-2025/157013-Purchase of hospital equipment","Chhattisgarh","BALOD(Collector Balod_IDA)","Supply of LED Barrier, Mortuary Freezer, Floor Cleaning Machine, ECG Machine, BP Machine, Sell Counter, High-mast Light, and Other Necessary Medical Equipment for the Government Community Health Centre, Dondilohara, in Balod District, Chhattisgarh.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","03-Apr-2025","3481986"
"3523","Normal/Others","WS/MP148/2024-2025/133078-Construction of rooms and halls in school and colleges","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Construction work of one room in Government Higher Secondary School, Achalpuri","Shri Randeep Singh Surjewala (2022-28) (NaN-NaN)","Elected MP","Images","14-Oct-2025","880344"
"3524","Normal/Others","WS/MP148/2024-2025/137146-Construction of rooms and halls in school and colleges","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Construction of One Room at Rajkiya Uchch Madhyamik Vidyalay in Kherla Village","Shri Randeep Singh Surjewala (2022-28) (NaN-NaN)","Elected MP","Images","02-Aug-2025","881671"
"3525","Normal/Others","WS/MP18291/2024-2025/156549-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","Prathmik school ane smashan vistar ma block road","Shri Govindbhai Laljibhai Dholakia (2024-30) (NaN-NaN)","Elected MP","Images","28-Jul-2025","300000"
"3526","Normal/Others","WS/MP850/2024-2025/134499-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","Uttarakhand","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","GRAM SAUR KE MOTOR ROAD SE GADKA TOK TAK RETARING WALL KA NIRMAN. IA KARYADAI SANSTATHA BLOCK MORI","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","20-Jan-2025","697495"
"3527","Normal/Others","WS/MP842/2024-2025/165404-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Construction of Punathil Mukku Maruthiyat Road(Concreting)","Smt. P. T. Usha (2022-28) (NaN-NaN)","Elected MP","N/A","20-Jan-2025","417819"
"3528","Normal/Others","WS/MP197/2024-2025/110297-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","CC/Interlocking work from Kali Mata Temple to Primary School No. 2 in Durjanpur Hanumanganj.","Shri Neeraj Shekhar (2020-26) (NaN-NaN)","Elected MP","N/A","19-Mar-2025","921128"
"3529","Normal/Others","WS/MP197/2024-2025/110329-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","CC/Interlocking work from Baijnath Chhapra Ramdas Paswan's house on Pitch Road in Kotwa to Triloki Verma's house via Shankar ji's Shivla.","Shri Neeraj Shekhar (2020-26) (NaN-NaN)","Elected MP","N/A","25-Mar-2025","945233"
"3530","Normal/Others","WS/MP106/2024-2025/154241-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Gram Sagoni Kalan, Gram Panchayat Naya Kheda, Janpad Panchayat Narsinghpur ke gram Sagoni Kalan (Choudhari) Aadivasi Harijan Mohalle me CC Road, Niraman, Vidhan Sabha Narsinghpur, District Narsinghpur","Shri Vivek K. Tankha (2022-28) (NaN-NaN)","Elected MP","Images","24-Apr-2025","500000"
"3531","Normal/Others","WS/MP084/2024-2025/38617-Providing drains and gutters for public drainage","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C Drainage development work, Machohalli Village, Machohalli Grama Panchayat, Bangalore North Taluk, Bangalore Urban.","Shri Jaggesh (2022-28) (NaN-NaN)","Elected MP","N/A","20-Jan-2025","491134"
"3532","Normal/Others","WS/MP107/2024-2025/158728-Construction of public staircase/ stair ghat for public convenience","Madhya Pradesh","SEONI(District Collector Seoni_IDA)","Construction work of public  ghat on Juwan river in village Kosamghat","Smt. Sumitra Balmik (2022-28) (NaN-NaN)","Elected MP","Images","20-Jun-2025","1499500"
"3533","Normal/Others","WS/MP140/2024-2025/158716-Purchase of mobile water tankers","Punjab","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Regarding for giving single walled fabrication of 5000ltr water tanker to Village. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","04-Feb-2025","336300"
"3534","Normal/Others","WS/MP18281/2024-2025/146017-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","CONSTRUCTION OF DABAR ROAD AT KHET OF GURU DAYAL TO TUBE WALL OF TIPPU VILL-NAGLA LAL SINGH JALESAR ( UPSIC ETAH )","Shri Ramji Lal Suman (2024-30) (NaN-NaN)","Elected MP","N/A","10-Nov-2025","2183183"
"3535","Normal/Others","WS/MP18281/2024-2025/146044-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","CONSTRUCTION OF C.C. ROAD AT PRAYAMRI SCHOOL TO NAGLA NAYA VILL-DUPHRIYA AWAGARH (UPSIC ETAH)","Shri Ramji Lal Suman (2024-30) (NaN-NaN)","Elected MP","N/A","20-Jun-2025","2082347"
"3536","Normal/Others","WS/MP18281/2024-2025/146059-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","CONSTRUCTION OF C.C. ROAD AT SILAMAI - BALIDADPUR TO NAGLA NAYA VILL-BALIDADPUR AWARAGH (UPSIC ETAH)","Shri Ramji Lal Suman (2024-30) (NaN-NaN)","Elected MP","N/A","08-Jul-2025","1479295"
"3537","Normal/Others","WS/MP18281/2024-2025/146016-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","ETAH(DISTRICT MAGISTRATE ETAH_IDA)","CONSTRUCTION OF DABAR AT KHET OF BHURI SINGH TO TUBEWALL OF MUKESH VILL-NAGLA LAL SINGH JALESAR (UPSIC ETAH)","Shri Ramji Lal Suman (2024-30) (NaN-NaN)","Elected MP","N/A","10-Nov-2025","2182933"
"3538","Normal/Others","WS/MP140/2024-2025/135342-Purchase of mobile water tankers","Punjab","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Regarding for giving single walled fabrication of 5000 ltr water tanker to Village. 2mm stainless sheet AISI 304 Material etc. (SC)","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","21-Jan-2025","336300"
"3539","Normal/Others","WS/MP147/2024-2025/145101-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Deeg(DISTRICT COLLECTOR Deeg_IDA)","For construction of interlocking brick kharanja from Ramdayal's house towards Babulal's house in Gram Panchayat Sikrori.","Shri Pramod Tiwari (2022-28) (NaN-NaN)","Elected MP","Images","21-Apr-2026","998008"
"3540","Normal/Others","WS/MP202/2024-2025/135872-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Vikash Khand Sujanganj Gram Rangawa Me Mukhya Marge Se shree shivprakash singh Ke Ghar Tak laghag 210 metar Interlocking Karya","Smt. Seema Dwivedi (2020-26) (NaN-NaN)","Elected MP","Images","27-Feb-2025","922509"
"3541","Normal/Others","WS/MP202/2024-2025/135871-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Vikash Khand Suithakla Gram Amari Me Shree Mahendra Nath Bind Ke Ghar Se Post Office Tak Lagbhag 210 metar Interlocking Karya","Smt. Seema Dwivedi (2020-26) (NaN-NaN)","Elected MP","N/A","27-Feb-2025","985180"
"3542","Normal/Others","WS/MP18331/2024-2025/153529-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Construction of C.C Road house of jayveer towards village gadi sukkha block baldev district mathura","Shri Tejveer Singh (2024-30) (NaN-NaN)","Elected MP","N/A","22-May-2025","334719"
"3543","Normal/Others","WS/MP18331/2024-2025/153541-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Construction of C.C. Road h/o deepchand to towards h/o gyan singh village nagla bans block farah district mathura","Shri Tejveer Singh (2024-30) (NaN-NaN)","Elected MP","N/A","24-Mar-2025","433151"
"3544","Normal/Others","WS/MP18331/2024-2025/153537-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Construction of Interlocking Road towards Painth way village bichpuri block raya district mathura","Shri Tejveer Singh (2024-30) (NaN-NaN)","Elected MP","N/A","26-Mar-2025","1514877"
"3545","Normal/Others","WS/MP18331/2024-2025/153567-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Construction of Interlocking Road h/o laxman singh to towards h/o thakur amar singh shri nath puram  colony ward no 33 nagar nigam mathura","Shri Tejveer Singh (2024-30) (NaN-NaN)","Elected MP","N/A","05-Jun-2025","1309370"
"3546","Normal/Others","WS/MP18331/2024-2025/153545-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Construction of C.C. Road Sonkh Road mandir to towards h/o sukhveer singh varun vihar ward no 33 nagar nigam mathura vrindavan mathura","Shri Tejveer Singh (2024-30) (NaN-NaN)","Elected MP","N/A","26-Mar-2025","1198790"
"3547","Normal/Others","WS/MP18331/2024-2025/153542-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","MATHURA(DISTRICT MAGISTRAE MATHURA_IDA)","Construction of C.C. Road h/o shyam babu to towards junior high school village jodhpur block farah district mathura","Shri Tejveer Singh (2024-30) (NaN-NaN)","Elected MP","N/A","24-Mar-2025","640749"
"3548","Normal/Others","WS/MP891/2024-2025/139716-Purchase of smart boards, visual display units and projectors","Gujarat","MORBI(District collector Morbi_IDA)","For Smart Board regarding Student Facilitation in Jawahar Navodaya Vidyalaya School","Shri Kesridevsinh Jhala (2023-29) (NaN-NaN)","Elected MP","Images","22-Jan-2025","189750"
"3549","Normal/Others","WS/MP889/2024-2025/154659-Construction of roads, link roads, pathways or any other road with or without drainage system","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Nandotra Ta.Vadgam :  Work of paver block from Rameshbhai Desai's house to Govindbhai Desai's wall in Shakitnagarpara Desaiwas.(2024-25)","Shri Babubhai Jesangbhai Desai (2023-29) (NaN-NaN)","Elected MP","Images","07-Aug-2025","400000"
"3550","Normal/Others","WS/MP138/2024-2025/160860-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Improvement of road from Telipatana RD Road to Soil conservation office in Village -Nial, GP Nial, Aul Block, Distt. Kendrapara","Smt. Sulata Deo (2022-28) (NaN-NaN)","Elected MP","Images","23-Jan-2025","500000"
"3551","Normal/Others","WS/MP18304/2024-2025/146841-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","construction work of Approach Road","Shri Harsh Mahajan (2024-30) (NaN-NaN)","Elected MP","N/A","11-Dec-2025","500000"
"3552","Normal/Others","WS/MP889/2024-2025/154657-Construction of boundary walls of existing public and community buildings","Gujarat","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Nandotra Ta.Vadgam :  Flood protection wall work at Shakitnagarpara Desai Rameshbhai, Vishnubhai Desaivas(2024-25)","Shri Babubhai Jesangbhai Desai (2023-29) (NaN-NaN)","Elected MP","Images","07-Aug-2025","200000"
"3553","Normal/Others","WS/MP189/2023-2024/49624-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA)","Evacuation of Drain, PCC Work, Sand Filling, Stone Blast, CC Work, RCC Work and Reinforcement","Shri Kapil Sibal (2022-28) (NaN-NaN)","Elected MP","N/A","17-Jun-2025","4017571"
"3554","Normal/Others","WS/MP078/2024-2025/148996-Street lights","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Installation of Seven (07) Solar Street Lights near the house of  1. Sh. Kamlesh Kumar 2. Sh. Swroop Kumar 3. Sh. Payar Chand 4. Sh. Dulo Ram 5. Sh. Murli Ram 6. Sh. Jaimal Ram 7. Sh. Karmchand All are villagers of Village Ghar, G.P. Bandu, Dev. Block Panchrukhi, District Kangra as per recommendation of Sh. Ajay Kabir.  Executing agency P.O. Himurja.","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","19-Mar-2026","107835"
"3555","Normal/Others","WS/MP18304/2024-2025/156275-Street lights","Himachal Pradesh","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","Street Lights","Shri Harsh Mahajan (2024-30) (NaN-NaN)","Elected MP","N/A","20-Jan-2026","292215"
"3556","Normal/Others","WS/MP107/2024-2025/158727-Construction of public staircase/ stair ghat for public convenience","Madhya Pradesh","SEONI(District Collector Seoni_IDA)","Construction work of public ghat on the pond of village Kasai","Smt. Sumitra Balmik (2022-28) (NaN-NaN)","Elected MP","Images","23-Jun-2025","1500000"
"3557","Normal/Others","WS/MP096/2024-2025/145338-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Machingal – Pokkattiyil road/pathway, Ward No. 05, Ozhur Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","22-Jan-2025","407534"
"3558","Normal/Others","WS/MP18304/2024-2025/157339-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Construction of Links Road and Pathways","Shri Harsh Mahajan (2024-30) (NaN-NaN)","Elected MP","N/A","03-Apr-2025","150000"
"3559","Normal/Others","WS/MP148/2024-2025/137162-Construction of boundary walls of existing public and community buildings","Rajasthan","Jaipur Gramin(DISTRICT COLLECTOR Jaipur Gramin_IDA)","Construction Work of boundary wall of Sarvsamaj  cremation ground","Shri Randeep Singh Surjewala (2022-28) (NaN-NaN)","Elected MP","Images","02-Apr-2025","988873"
"3560","Normal/Others","WS/MP842/2024-2025/132554-Construction of footpaths and pedestrian ways","Kerala","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Construction of Footpath Inside Bhoothivazhy OLH Colony  Road (Interlocking), Ward -8, Bhoothivazhy, Agali Grama Panchayat, Attappadi Block , Palakkad(Dist.), Kerala,  Pin: 678581 (Work: SC)","Smt. P. T. Usha (2022-28) (NaN-NaN)","Elected MP","Images","23-Jan-2025","260770"
"3561","Trust and Society","WS/MP112/2024-2025/136783-Construction of community centers and community halls","Maharashtra","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Construction of Sanskrutik Sabhagruh, S.S.Highschool, Nesari, Tal.Gadhinglaj, Dist.Kolhapur","Shri Dhananjay Bhimrao Mahadik (2022-28) (NaN-NaN)","Elected MP","Images","22-Jan-2025","999000"
"3562","Normal/Others","WS/MP843/2024-2025/149966-Purchase of furniture and fixtures for educational purposes","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Following items for Government Girls Senior Secondary Smart School Near Bhargo Camp 35 fan, 1 table, 10 chair, 1 water tank of capacity 2000 liter, 1 water cooler of capacity 100 liter, 1 security guard cabin of size 8*8 ft, 1 Computer Printer.","Dr. Ashok Kumar Mittal (2022-28) (NaN-NaN)","Elected MP","Images","09-Jun-2025","286550"
"3563","Normal/Others","WS/MP18298/2024-2025/155715-Construction of community centers and community halls","Rajasthan","Jodhpur Gramin(DISTRICT COLLECTOR JODHPUR RURAL_IDA)","construction work of Resting place  at public crematorium in village Santoda Khurd","Shri Madan Rathore (2024-30) (NaN-NaN)","Elected MP","Images","07-Aug-2026","599845"
"3564","Normal/Others","WS/MP18298/2024-2025/155716-Construction of community centers and community halls","Rajasthan","Jodhpur Gramin(DISTRICT COLLECTOR JODHPUR RURAL_IDA)","construction work of Resting place  at public crematorium in village Sri Dev Nagar, Gram Panchayat Santora Khurd","Shri Madan Rathore (2024-30) (NaN-NaN)","Elected MP","Images","07-Aug-2026","599927"
"3565","Normal/Others","WS/MP138/2024-2025/160862-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Improvement of road from Forest Office road to Santosh Rana House in Village -Balabhadrapurl, GP Nial,Aul Block, Distt. Kendrapara","Smt. Sulata Deo (2022-28) (NaN-NaN)","Elected MP","Images","23-Jan-2025","600000"
"3566","Normal/Others","WS/MP197/2024-2025/110869-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","CC/interlocking work from Moti Lal Pal's house to Dudhnath Verma's farm in Ward No. 14.","Shri Neeraj Shekhar (2020-26) (NaN-NaN)","Elected MP","N/A","14-Jan-2026","777462"
"3567","Normal/Others","WS/MP138/2024-2025/160861-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Improvement of road from Nial RD Office to Tota Upper Road in Village -Nial, GP Nial, Aul Block, Distt. Kendrapara","Smt. Sulata Deo (2022-28) (NaN-NaN)","Elected MP","Images","23-Jan-2025","500000"
"3568","Normal/Others","WS/MP197/2024-2025/120803-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","CC/Interlocking work from Satendra Ojha Pandir's house to Dinanath Ojha's house in Garam Mansingh Chhapra Achalgarh.","Shri Neeraj Shekhar (2020-26) (NaN-NaN)","Elected MP","N/A","26-Sep-2025","895022"
"3569","Normal/Others","WS/MP108/2024-2025/133527-Construction of community centers and community halls","Maharashtra","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","construction of community hall in village Warha in Morshi tehsil, Amravati","Dr. Anil Sukhdeorao Bonde (2022-28) (NaN-NaN)","Elected MP","N/A","23-Jan-2025","1957573"
"3570","Normal/Others","WS/MP171/2024-2025/145104-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA)","Laying of CC Road from Kesha Parvathalu(H) to Jakka Nagaiah(H) at Manthati(V) of Nagarkurnool(M), Nagarkurnool District.","Shri Ravi Chandra Vaddiraju (2024-30) (NaN-NaN)","Elected MP","Images","23-Jan-2025","497952"
"3571","Normal/Others","WS/MP052/2024-2025/148020-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Construction Of P. C. C road  from the main road leading to Hanuman Mandir till Virju Sah's house in the  village Badharwa Lakhan Sen of Village council of Badharwa Lakhan Sen, dhaka block in Motihari district. Estimated cost Rs. 1400000","Shri Satish Chandra Dubey (2022-28) (NaN-NaN)","Elected MP","N/A","23-Jan-2025","1397071"
"3572","Normal/Others","WS/MP052/2024-2025/148021-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Construction Of P. C. C road  from Alha Sah's house leading to P. H. C in the  village Badharwa Lakhan Sen of Village council of Badharwa Lakhan Sen, dhaka block in Motihari district. Estimated cost Rs. 600000","Shri Satish Chandra Dubey (2022-28) (NaN-NaN)","Elected MP","N/A","23-Jan-2025","597895"
"3573","Normal/Others","WS/MP103/2024-2025/147532-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","CC ROAD FROM SHITLAMATA MANDIR INDIRA AWAS COLONY APPROCH ROAD  TO MUKTIDHAM  GRAM PANCHAYAT AMBA CHANDAN JP DR. AMBEDKAR NAGAR MHOW DIST. INDORE","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","09-Jan-2026","1500000"
"3574","Normal/Others","WS/MP18300/2024-2025/149654-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","PCC road construction work from Anubhuti ji's house to Sharan ji's house via Sunil ji's house in Mitra Mandal Colony of Municipal Council of Ward No. 11 of Phulwari  Block under Phulwari Legislative Assembly","Dr. Bhim Singh (2024-30) (NaN-NaN)","Elected MP","Images","23-Jul-2025","1496415"
"3575","Normal/Others","WS/MP103/2024-2025/141735-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","C.C ROAD FROM VISHNUPRASAD JI HOME  INFRONT OF AMBIKA PARISAR TO MANDLESHWAR ROAD , GP GAWALI PALASIYA JANPAD PANCHAYAT D. AMBEDKAR NAGAR MHOW","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","21-Nov-2025","1000000"
"3576","Normal/Others","WS/MP18300/2024-2025/149655-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","PCC road construction work from the house of Dinanath Yadav towards the house of RB Mahato in D sector in Mitra Mandal Colony of Municipal Corporation in Ward No. 11 of Phulwari  Block under Phulwari Legislative Assembly","Dr. Bhim Singh (2024-30) (NaN-NaN)","Elected MP","Images","23-Jul-2025","1493951"
"3577","Normal/Others","WS/MP18282/2024-2025/136559-Construction of boundary walls of existing public and community buildings","Sikkim","Gangtok(DISTRICT COLLECTOR EAST DISTRICT_IDA)","Construction of protection wall at land slides zone along the PWD Road at Lower Sichey","Shri Dorjee Tshering Lepcha (2024-30) (NaN-NaN)","Elected MP","N/A","06-Nov-2025","4499685"
