"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"1215","Normal/Others","WS/MP103/2023-2024/34642-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Installation of Fixed Garden Open gym equipment in ST Senior Girls Hostel in khurdi  Block Mhow","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
"1216","Normal/Others","WS/MP103/2023-2024/34641-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Installation of Fixed Garden Open gym equipment in ST Senior Boys Hostel in Choral Block Mhow","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
"1217","Normal/Others","WS/MP103/2023-2024/34644-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Installation of Fixed Garden Open gym equipment in SC Senior Boys Hostel in Harsola Block Mhow","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
"1218","Normal/Others","WS/MP103/2023-2024/34647-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","nstallation of Fixed Garden Open gym equipment in Senior SC Girls Hostel in Mhowgaon, Block Mhow District Indore","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
"1219","Normal/Others","WS/MP103/2023-2024/34648-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Installation of Fixed Garden Open gym equipment in Senior ST Boys Hostel in Kalakund Block Mhow District Indore U","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
"1220","Normal/Others","WS/MP103/2023-2024/34646-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Installation of Fixed Garden Open gym equipment in  Senior ST Boys Hostel in Mhowgaon,  Block Mhow District Indore","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
"1221","Normal/Others","WS/MP103/2023-2024/34535-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Installation of Fixed Gym Equipment at Kasturba Gandhi Girls Hostel (9-12)Mhow Tehsil Indore MP","Dr. Kavita Patidar (2022-28) (NaN-NaN)","Elected MP","Images","17-Feb-2024","696867"
"1222","Normal/Others","WS/MP078/2023-2024/45780-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","C/o Pakka path from the house of Rakesh Kumar S/o Sh Mathura Das to the house of Sh. Meghnath Bulah Dagoh, G. P. Badhera, Distt. Hamirpur (HP) (Executing agency BDO)","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","06-Feb-2026","300000"
"1223","Normal/Others","WS/MP849/2023-2024/61985-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar light 30 watt at 10 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","499952"
"1224","Normal/Others","WS/MP849/2023-2024/61988-Lighting of public spaces","Uttar Pradesh","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Solar light 30 watt at 10 places","Smt. Geeta alias Chandraprabha (2020-26) (NaN-NaN)","Elected MP","Images","17-Feb-2026","499951.25"
